iter	Passed	Remaining
0	1233	615315
1	2216	551888
2	3287	544698
3	4324	536233
4	5503	544815
5	6829	562310
6	8136	573071
7	9234	567905
8	10019	546640
9	11395	558402
10	12386	550655
11	13177	535883
12	14088	527769
13	15198	527588
14	16246	525291
15	17184	519839
16	18491	525369
17	19687	527197
18	20921	529654
19	22051	529239
20	23056	525908
21	23923	519793
22	24739	513080
23	25690	509521
24	26604	505482
25	27529	501880
26	28430	498052
27	29328	494398
28	30230	490980
29	31152	488060
30	32147	486362
31	33009	482759
32	33614	475700
33	34303	470155
34	34878	463384
35	35450	456916
36	36070	451367
37	36675	445890
38	37861	447538
39	38722	445307
40	39573	443034
41	40514	441800
42	41466	440703
43	42585	441345
44	43769	442556
45	44728	441450
46	45888	442289
47	46893	441583
48	47731	439320
49	48915	440235
50	49960	439851
51	50772	437425
52	51705	436084
53	52629	434680
54	53530	433109
55	54443	431657
56	55476	431156
57	56494	430529
58	57429	429259
59	58315	427649
60	59624	429100
61	60785	429416
62	61676	427818
63	62795	427795
64	63826	427147
65	64886	426679
66	65989	426469
67	67129	426470
68	68347	426923
69	69607	427587
70	70732	427381
71	71758	426565
72	72796	425810
73	73848	425126
74	74777	423740
75	75783	422792
76	76806	421934
77	77867	421281
78	78891	420421
79	79999	419994
80	81047	419245
81	82032	418166
82	82906	416528
83	84044	416220
84	85004	415022
85	86141	414683
86	86706	411607
87	87207	408290
88	87684	404923
89	88129	401479
90	88758	398925
91	89305	396048
92	89931	393572
93	90463	390725
94	90890	387478
95	91330	384351
96	91843	381577
97	92294	378595
98	92760	375726
99	93211	372845
100	93673	370056
101	94250	367763
102	94765	365261
103	95212	362538
104	95717	360081
105	96299	357943
106	97033	356394
107	97723	354700
108	98399	352972
109	99634	353249
110	101218	354721
111	101920	353080
112	102482	350979
113	103280	349704
114	104423	349592
115	105464	349123
116	106543	348769
117	107572	348241
118	108967	348880
119	110091	348623
120	110925	347444
121	112029	347109
122	113948	349256
123	114922	348475
124	116106	348320
125	117134	347684
126	118117	346913
127	119240	346542
128	120128	345484
129	120806	343833
130	121844	343211
131	123199	343463
132	124361	343163
133	125401	342513
134	126494	342004
135	127570	341437
136	128649	340873
137	130113	341312
138	131283	340958
139	132867	341658
140	134453	342332
141	135675	342054
142	136951	341900
143	138343	342014
144	139562	341686
145	140743	341255
146	142224	341532
147	143211	340611
148	144090	339434
149	145037	338421
150	145931	337284
151	146841	336188
152	147729	335045
153	148688	334066
154	149588	332955
155	150612	332120
156	151565	331126
