seg_id,time_to_failure
seg_00030f,4.12873824
seg_0012b5,4.465780931
seg_00184e,5.352199304
seg_003339,8.519819262
seg_0042cc,7.599075499
seg_004314,2.089199501
seg_004cd2,6.436621233
seg_004ee5,6.345085874
seg_004f1f,4.487135563
seg_00648a,3.67637078
seg_006e4a,3.481397395
seg_007a37,4.030915026
seg_00a37e,2.143309089
seg_00be11,2.366252157
seg_00c35b,8.475218397
seg_00cc91,3.617950577
seg_00e5f7,5.360693506
seg_00f3b9,2.084596292
seg_010eab,5.381134021
seg_0125d9,4.144858203
seg_0144cb,3.610264562
seg_0165c6,8.741307337
seg_016913,2.221875124
seg_016cdb,3.884838695
seg_017314,6.353539984
seg_01a8dc,3.675470866
seg_01c775,8.696593532
seg_01ecb0,3.229752336
seg_02042f,2.147791126
seg_025e78,4.850522595
seg_032822,2.891205042
seg_0339ca,5.123772356
seg_037461,3.217114984
seg_038879,8.215560952
seg_03d386,2.089199501
seg_03d63e,3.394786672
seg_03d680,8.686949593
seg_03f380,2.084143886
seg_0445d7,4.584860129
seg_046c28,3.105497724
seg_0488a1,7.70777252
seg_049957,9.639518896
seg_04a696,7.628755558
seg_04ae38,5.238990364
seg_04b87a,8.306183739
seg_04cceb,6.437503232
seg_04ee93,7.650962443
seg_04fd93,6.336828603
seg_0536c9,3.014095533
seg_055127,5.415318598
seg_05a1b0,3.983143799
seg_05a4ad,7.469729648
seg_05b66a,9.208602102
seg_05bef4,2.872932102
seg_05e0d7,6.326859868
seg_05f126,8.506282446
seg_05f9d6,6.390820966
seg_060ce4,3.274455664
seg_061a33,7.611161131
seg_0620e6,6.382446784
seg_063865,6.345085874
seg_065588,2.945585827
seg_06893f,2.885759644
seg_06b8c9,5.388387164
seg_06bbc5,3.548202496
seg_06d4a2,3.136093703
seg_06d7ba,3.02593673
seg_070bb0,2.629810233
seg_071067,2.42919979
seg_073696,8.749465481
seg_075340,3.127689488
seg_075f77,3.48404169
seg_0775a7,2.102551292
seg_077b7e,5.340240427
seg_079e34,3.550557518
seg_07c815,2.945705614
seg_07cd72,4.930207139
seg_07f37c,2.198214302
seg_07f8df,3.802766223
seg_07fc6d,7.571498627
seg_086a61,8.729769508
seg_0870ab,4.187095049
seg_0879a8,8.327924738
seg_08b136,8.065347973
seg_08f441,2.945055185
seg_08fd5b,5.036640256
seg_091c9d,9.433849147
seg_093a0a,6.38822887
seg_0968f1,6.397346574
seg_0981f3,2.885429517
